Prospect Name,RSS Feed,Data Source,Last Scrape Status,Last Scrape Timestamp,Country,Domain,Status,Existing newsletter?,Person,Date sent,Replied,Comments
Awesome Stuff 365,https://awesomestuff365.com/feed,OG,success,2025-11-29 12:06:39,New Zealand,awesomestuff365.com,Irrelevant prospect,FALSE,Later,,FALSE,
Aydınlık,https://aydinlik.com.tr/feed,OG,success,2025-11-29 12:06:47,Turkey,aydinlik.com.tr,To Do,FALSE,Later,,FALSE,
BabyHome,-,N/A,-,,Taiwan,babyhome.com.tw,No feed generated,FALSE,,,FALSE,
Backyard Garden Lover,https://backyardgardenlover.com/feed,OG,success,2025-11-29 11:38:32,United States,backyardgardenlover.com,Sending,FALSE,Karen,,FALSE,
Balkanrock,https://balkanrock.com/feed,OG,success,2025-11-29 12:06:51,Serbia,balkanrock.com,Error adding feed to EBX,FALSE,Karen,,FALSE,An error occurred while validating the feed URL
Bangladesh Post,-,N/A,-,,Bangladesh,bangladeshpost.net,No feed generated,FALSE,,,FALSE,
BanglaNews24.com.bd,https://banglanews24.com/rss.xml,Discovered-pattern,success,2025-11-29 12:06:57,Bangladesh,banglanews24.com,To Do,FALSE,,,FALSE,
Bangla Tribune,https://www.banglatribune.com/feed/,Discovered-autodiscovery,failed,2025-11-29 12:06:57,Bangladesh,banglatribune.com,To Do,FALSE,,,FALSE,
Bangla TV,https://banglatv.tv/rss,OG,success,2025-11-29 12:06:58,Bangladesh,banglatv.tv,To Do,FALSE,Later,,FALSE,
bankingnews.gr,https://bankingnews.gr/rss,OG,success,2025-11-29 12:07:01,Greece,bankingnews.gr,Sending,FALSE,Karen,"Nov 27, 2025 ",FALSE,
Banks News,-,N/A,-,,Greece,banksnews.gr,No feed generated,FALSE,,,FALSE,
Bant Mag,https://bantmag.com/feed,N/A,failed,2025-11-29 12:07:01,Turkey,bantmag.com,No feed generated,FALSE,Later,,FALSE,
Barta Bazar,https://bartabazar.com/feed,N/A,failed,2025-11-29 12:07:01,Bangladesh,bartabazar.com,No feed generated,FALSE,Later,,FALSE,
Basketa.gr,https://basketa.gr/feed,OG,success,2025-11-29 12:07:04,Greece,basketa.gr,Sending,FALSE,Karen,"Nov 27, 2025 ",FALSE,
Başlat Tuşu,https://baslattusu.com/feed,N/A,failed,2025-11-29 12:07:05,Turkey,baslattusu.com,No feed generated,FALSE,Later,,FALSE,
巴士的報,-,N/A,-,,Hong Kong,bastillepost.com,No feed generated,FALSE,,,FALSE,
Batman Çağdaş Gazetesi,http://batmancagdas.com/rss,RSS,success,2025-11-29 12:07:05,Turkey,batmancagdas.com,To Do,FALSE,Later,,FALSE,
bdnews24,-,N/A,-,,Bangladesh,bdnews24.com,No feed generated,FALSE,,,FALSE,
Beatport,-,N/A,-,,United States,beatport.com,No feed generated,FALSE,,,FALSE,
Beebom,https://beebom.com/feed,OG,success,2025-11-29 12:07:08,India,beebom.com,Sending,FALSE,Karen,"Nov 27, 2025 ",FALSE,
